Validation_Set,Topics,Power_iters,Decay,Coherence
75% Corpus,5,8,0.6,0.3238571621125749
75% Corpus,5,8,0.7,0.3141355641745764
75% Corpus,5,8,0.8,0.433881391406899
75% Corpus,5,8,0.9,0.3160360763347875
75% Corpus,5,8,1.0,0.2634172481895499
75% Corpus,5,10,0.0,0.5698862047497695
75% Corpus,5,10,0.1,0.33320094783260995
75% Corpus,5,10,0.2,0.3424716825812921
75% Corpus,5,10,0.3,0.3448819656459034
75% Corpus,5,10,0.4,0.3255472016047804
75% Corpus,5,10,0.5,0.3234843786848681
75% Corpus,5,10,0.6,0.3238571621125749
75% Corpus,5,10,0.7,0.3141355641745764
75% Corpus,5,10,0.8,0.433881391406899
75% Corpus,5,10,0.9,0.3160360763347875
75% Corpus,5,10,1.0,0.2634172481895499
75% Corpus,6,0,0.0,0.35684319370233847
75% Corpus,6,0,0.1,0.32647092527270555
75% Corpus,6,0,0.2,0.334196537563274
75% Corpus,6,0,0.3,0.3388897063086494
75% Corpus,6,0,0.4,0.3058376549448039
75% Corpus,6,0,0.5,0.3133380148106056
75% Corpus,6,0,0.6,0.3440165204755427
75% Corpus,6,0,0.7,0.3050408129254141
75% Corpus,6,0,0.8,0.43521601072361943
75% Corpus,6,0,0.9,0.32498294640207953
75% Corpus,6,0,1.0,0.2661121848312935
75% Corpus,6,1,0.0,0.3433598940024059
75% Corpus,6,1,0.1,0.32647092527270555
75% Corpus,6,1,0.2,0.334196537563274
75% Corpus,6,1,0.3,0.3388897063086494
75% Corpus,6,1,0.4,0.3058376549448039
75% Corpus,6,1,0.5,0.3133380148106056
75% Corpus,6,1,0.6,0.3440165204755427
75% Corpus,6,1,0.7,0.3050408129254141
75% Corpus,6,1,0.8,0.43521601072361943
75% Corpus,6,1,0.9,0.32498294640207953
75% Corpus,6,1,1.0,0.2661121848312935
75% Corpus,6,4,0.0,0.3273394551763593
75% Corpus,6,4,0.1,0.32647092527270555
75% Corpus,6,4,0.2,0.334196537563274
75% Corpus,6,4,0.3,0.3388897063086494
75% Corpus,6,4,0.4,0.3058376549448039
75% Corpus,6,4,0.5,0.3133380148106056
75% Corpus,6,4,0.6,0.3440165204755427
75% Corpus,6,4,0.7,0.3050408129254141
75% Corpus,6,4,0.8,0.43521601072361943
75% Corpus,6,4,0.9,0.32498294640207953
75% Corpus,6,4,1.0,0.2661121848312935
